Raw	Instrument	LC_column	Celltype	Label	Set	Real_single_cell	LCMS_batch	Sort_day	Digest	id
wJD1172	Q-Exactive	AUR2-15075C18A	PDAC	4	27	TRUE	A	A	A	id80
wJD1172	Q-Exactive	AUR2-15075C18A	U-937	8	27	TRUE	A	A	A	id81
wJD1173	Q-Exactive	AUR2-15075C18A	PDAC	0	28	TRUE	A	A	A	id82
wJD1173	Q-Exactive	AUR2-15075C18A	U-937	4	28	TRUE	A	A	A	id83
wJD1173	Q-Exactive	AUR2-15075C18A	Neg	8	28	TRUE	A	A	A	id84
wJD1174	Q-Exactive	AUR2-15075C18A	PDAC	0	29	TRUE	A	A	A	id85
wJD1174	Q-Exactive	AUR2-15075C18A	U-937	4	29	TRUE	A	A	A	id86
wJD1174	Q-Exactive	AUR2-15075C18A	Neg	8	29	TRUE	A	A	A	id87
wJD1175	Q-Exactive	AUR2-15075C18A	U-937	0	30	TRUE	A	A	A	id88
wJD1175	Q-Exactive	AUR2-15075C18A	Melanoma	4	30	TRUE	A	A	A	id89
wJD1175	Q-Exactive	AUR2-15075C18A	PDAC	8	30	TRUE	A	A	A	id90
wJD1176	Q-Exactive	AUR2-15075C18A	U-937	0	31	TRUE	A	A	A	id91
wJD1176	Q-Exactive	AUR2-15075C18A	Melanoma	4	31	TRUE	A	A	A	id92
wJD1176	Q-Exactive	AUR2-15075C18A	PDAC	8	31	TRUE	A	A	A	id93
wJD1177	Q-Exactive	AUR2-15075C18A	Melanoma	0	32	TRUE	A	A	A	id94
wJD1177	Q-Exactive	AUR2-15075C18A	PDAC	4	32	TRUE	A	A	A	id95
wJD1177	Q-Exactive	AUR2-15075C18A	U-937	8	32	TRUE	A	A	A	id96
wJD1178	Q-Exactive	AUR2-15075C18A	Melanoma	0	33	TRUE	A	A	A	id97
wJD1178	Q-Exactive	AUR2-15075C18A	PDAC	4	33	TRUE	A	A	A	id98
wJD1178	Q-Exactive	AUR2-15075C18A	U-937	8	33	TRUE	A	A	A	id99
wJD1179	Q-Exactive	AUR2-15075C18A	Neg	0	34	TRUE	A	A	A	id100
wJD1179	Q-Exactive	AUR2-15075C18A	U-937	4	34	TRUE	A	A	A	id101
wJD1179	Q-Exactive	AUR2-15075C18A	Melanoma	8	34	TRUE	A	A	A	id102
wJD1180	Q-Exactive	AUR2-15075C18A	Neg	0	35	TRUE	A	A	A	id103
wJD1180	Q-Exactive	AUR2-15075C18A	U-937	4	35	TRUE	A	A	A	id104
wJD1180	Q-Exactive	AUR2-15075C18A	Melanoma	8	35	TRUE	A	A	A	id105
wJD1181	Q-Exactive	AUR2-15075C18A	Neg	0	36	TRUE	A	A	A	id106
wJD1181	Q-Exactive	AUR2-15075C18A	U-937	4	36	TRUE	A	A	A	id107
