Raw.file	celltype	id	cvm	RI
XwGH0502	untreated	i252	0.295144476182338	Reporter.intensity.corrected.12
XwGH0502	LPS	i253	0.356302547840775	Reporter.intensity.corrected.13
XwGH0502	LPS	i254	0.320175485222781	Reporter.intensity.corrected.14
XwGH0502	LPS	i255	0.335244193149442	Reporter.intensity.corrected.15
XwGH0502	LPS	i256	0.33302452618466	Reporter.intensity.corrected.16
XwGH0501	untreated	i26	0.323741140886341	Reporter.intensity.corrected.10
XwGH0504	LPS	i262	0.316134401359029	Reporter.intensity.corrected.6
XwGH0504	untreated	i263	0.337040340975989	Reporter.intensity.corrected.7
XwGH0504	untreated	i264	0.35854755409717	Reporter.intensity.corrected.8
XwGH0504	untreated	i265	0.376365241533161	Reporter.intensity.corrected.9
XwGH0504	untreated	i266	0.399214049546012	Reporter.intensity.corrected.10
XwGH0504	untreated	i267	0.341992885188921	Reporter.intensity.corrected.11
XwGH0504	untreated	i268	0.312251415111633	Reporter.intensity.corrected.12
XwGH0504	LPS	i269	0.332730804109691	Reporter.intensity.corrected.13
XwGH0501	untreated	i27	0.322913582451319	Reporter.intensity.corrected.11
XwGH0504	LPS	i270	0.349102763172861	Reporter.intensity.corrected.14
XwGH0504	LPS	i271	0.301014142747168	Reporter.intensity.corrected.15
XwGH0504	LPS	i272	0.359463638001786	Reporter.intensity.corrected.16
XwGH0506	untreated	i278	0.317417505881286	Reporter.intensity.corrected.6
XwGH0506	untreated	i279	0.336291670854367	Reporter.intensity.corrected.7
XwGH0501	untreated	i28	0.346102876412399	Reporter.intensity.corrected.12
XwGH0506	untreated	i280	0.327056921832904	Reporter.intensity.corrected.8
XwGH0506	untreated	i281	0.350134944204595	Reporter.intensity.corrected.9
XwGH0506	control	i282	0.717762730019551	Reporter.intensity.corrected.10
XwGH0506	LPS	i283	0.339746076389748	Reporter.intensity.corrected.11
XwGH0506	LPS	i284	0.298459014451165	Reporter.intensity.corrected.12
XwGH0506	LPS	i285	0.65052256636347	Reporter.intensity.corrected.13
XwGH0506	LPS	i286	0.325414210417749	Reporter.intensity.corrected.14
XwGH0506	LPS	i287	0.308326735136861	Reporter.intensity.corrected.15
XwGH0506	untreated	i288	0.317143329115022	Reporter.intensity.corrected.16
XwGH0501	untreated	i29	0.335753196414875	Reporter.intensity.corrected.13
XwGH0507	LPS	i294	0.698221877846547	Reporter.intensity.corrected.6
XwGH0507	LPS	i295	0.346832975539495	Reporter.intensity.corrected.7
XwGH0507	LPS	i296	0.313116251418752	Reporter.intensity.corrected.8
XwGH0507	LPS	i297	0.307409608968595	Reporter.intensity.corrected.9
XwGH0507	untreated	i298	0.355958619452935	Reporter.intensity.corrected.10
XwGH0507	untreated	i299	0.393174637381727	Reporter.intensity.corrected.11
XwGH0501	control	i30	0.629073855172815	Reporter.intensity.corrected.14
XwGH0507	untreated	i300	0.338869403262914	Reporter.intensity.corrected.12
XwGH0507	untreated	i301	0.315575514040128	Reporter.intensity.corrected.13
XwGH0507	control	i302	0.643260095035732	Reporter.intensity.corrected.14
XwGH0507	untreated	i303	0.311190355799828	Reporter.intensity.corrected.15
XwGH0507	LPS	i304	0.320369167084235	Reporter.intensity.corrected.16
XwGH0501	untreated	i31	0.531009383353369	Reporter.intensity.corrected.15
XwGH0511	LPS	i310	0.627576360272349	Reporter.intensity.corrected.6
XwGH0511	LPS	i311	0.317115743757227	Reporter.intensity.corrected.7
XwGH0511	LPS	i312	0.299440357967487	Reporter.intensity.corrected.8
XwGH0511	LPS	i313	0.351106632327555	Reporter.intensity.corrected.9
XwGH0511	untreated	i314	0.308707633005478	Reporter.intensity.corrected.10
XwGH0511	untreated	i315	0.369764234441057	Reporter.intensity.corrected.11
XwGH0511	untreated	i316	0.319767213359218	Reporter.intensity.corrected.12
XwGH0511	untreated	i317	0.345401613356446	Reporter.intensity.corrected.13
XwGH0511	control	i318	0.592288036434153	Reporter.intensity.corrected.14
XwGH0511	untreated	i319	0.349459747382606	Reporter.intensity.corrected.15
XwGH0501	LPS	i32	0.38554428085242	Reporter.intensity.corrected.16
XwGH0511	LPS	i320	0.336913613729331	Reporter.intensity.corrected.16
XwGH0512	LPS	i326	0.319646032890845	Reporter.intensity.corrected.6
XwGH0512	untreated	i327	0.304044861266215	Reporter.intensity.corrected.7
XwGH0512	untreated	i328	0.421003043383666	Reporter.intensity.corrected.8
XwGH0512	untreated	i329	0.345370076832865	Reporter.intensity.corrected.9
XwGH0512	untreated	i330	0.31608075781464	Reporter.intensity.corrected.10
XwGH0512	untreated	i331	0.318344884859653	Reporter.intensity.corrected.11
XwGH0512	untreated	i332	0.390126310671405	Reporter.intensity.corrected.12
XwGH0512	LPS	i333	0.320521727841894	Reporter.intensity.corrected.13
XwGH0512	LPS	i334	0.32321362181712	Reporter.intensity.corrected.14
XwGH0512	LPS	i335	0.306956557760676	Reporter.intensity.corrected.15
XwGH0512	LPS	i336	0.305126701530536	Reporter.intensity.corrected.16
XwGH0515	LPS	i342	0.313629052511655	Reporter.intensity.corrected.6
XwGH0515	LPS	i343	0.299777986248393	Reporter.intensity.corrected.7
XwGH0515	LPS	i344	0.320532876983907	Reporter.intensity.corrected.8
XwGH0515	LPS	i345	0.342431335474329	Reporter.intensity.corrected.9
XwGH0515	untreated	i346	0.406733948621605	Reporter.intensity.corrected.10
XwGH0515	untreated	i347	0.741583561431109	Reporter.intensity.corrected.11
XwGH0515	untreated	i348	0.329926313978362	Reporter.intensity.corrected.12
XwGH0515	untreated	i349	0.31260192283668	Reporter.intensity.corrected.13
XwGH0515	control	i350	0.688511327335072	Reporter.intensity.corrected.14
